日期,开盘,最高,最低,收盘,成交量,股票代码,成交额
2018-06-11,30.17,36.2,30.17,36.2,78829,,2845471.75
2018-06-12,39.82,39.82,39.82,39.82,26579,,1058375.75
2018-06-13,43.8,43.8,43.8,43.8,45030,,1972314.0
2018-06-14,48.18,48.18,48.18,48.18,74267,,3578184.0
2018-06-15,53.0,53.0,53.0,53.0,256510,,13595030.0
2018-06-19,58.3,58.3,58.3,58.3,1117428,,65146052.0
2018-06-20,64.13,64.13,64.13,64.13,1310382,,84034800.0
2018-06-21,70.54,70.54,70.54,70.54,1231660,,86881296.0
2018-06-22,72.0,72.71,63.49,66.55,128170599,,8599729152.0
2018-06-25,68.2,71.6,67.22,69.19,69981999,,4868406784.0
2018-06-26,67.89,75.55,67.1,74.18,62553547,,4537098752.0
2018-06-27,74.21,74.93,71.77,74.09,44138862,,3241043456.0
2018-06-28,73.3,75.39,67.44,68.21,53080981,,3770134272.0
2018-06-29,68.68,74.3,67.77,71.96,45698575,,3231958784.0
2018-07-02,70.79,71.48,69.11,70.0,32470182,,2278646016.0
2018-07-03,70.2,71.19,65.85,69.29,33910064,,2337187072.0
2018-07-04,68.15,68.15,65.5,65.92,26282196,,1749919488.0
2018-07-05,65.0,71.88,64.88,68.81,34337783,,2343510016.0
2018-07-06,68.81,74.5,68.7,70.88,49213427,,3511358720.0
2018-07-09,70.8,71.57,69.11,71.55,31068978,,2183986432.0
2018-07-10,75.0,75.89,71.66,72.4,36484401,,2666043136.0
2018-07-11,70.0,78.94,69.58,77.06,49120805,,3695050752.0
2018-07-12,76.03,84.77,75.6,84.77,43085212,,3430182912.0
2018-07-13,82.0,88.47,81.03,82.7,48202055,,4049051392.0
2018-07-16,82.7,84.75,80.1,83.9,29515196,,2439741952.0
2018-07-17,83.11,84.17,79.66,82.28,28615349,,2336837120.0
2018-07-18,82.28,84.37,80.11,82.28,27113839,,2233771776.0
2018-07-19,82.0,85.15,80.67,82.89,25074483,,2089886976.0
2018-07-20,82.5,91.18,82.01,90.93,42695635,,3750334720.0
2018-07-23,89.0,90.54,87.55,88.62,25014352,,2223986176.0
2018-07-24,88.5,92.96,87.5,91.77,26501025,,2395962624.0
2018-07-25,91.0,95.08,82.59,82.59,45719348,,4027958784.0
2018-07-26,80.5,82.6,76.6,78.2,39286999,,3115796736.0
2018-07-27,78.0,78.64,75.67,76.05,22809584,,1748397056.0
2018-07-30,76.5,77.34,75.0,76.85,18041846,,1377263232.0
2018-07-31,76.78,76.79,70.51,72.22,28128307,,2055880192.0
2018-08-01,72.0,73.63,71.02,71.42,17933649,,1298707840.0
2018-08-02,70.4,73.29,70.05,72.56,19853529,,1429095168.0
2018-08-03,71.76,73.14,68.66,69.6,17288867,,1223071488.0
2018-08-06,69.0,71.08,67.6,69.65,15706945,,1096989824.0
2018-08-07,70.48,74.46,70.0,73.79,19964947,,1445537152.0
2018-08-08,73.5,73.58,71.11,71.52,14770817,,1067594688.0
2018-08-09,71.4,75.66,70.3,74.06,18474864,,1364797440.0
2018-08-10,73.6,74.49,73.02,74.44,11673860,,862092544.0
2018-08-13,73.0,74.19,72.03,74.01,10949557,,800760000.0
2018-08-14,73.8,73.89,71.44,71.57,11735618,,847545792.0
2018-08-15,70.98,72.03,69.0,69.11,12916705,,905177216.0
2018-08-16,68.0,69.88,66.21,68.99,10715293,,733358656.0
2018-08-17,69.9,70.51,68.1,68.16,8224837,,570722240.0
2018-08-20,67.88,69.11,66.0,68.95,10922929,,739769216.0
2018-08-21,68.97,70.78,68.02,69.57,10208839,,709924224.0
2018-08-22,69.06,70.25,67.21,67.47,8999917,,617772736.0
2018-08-23,67.65,69.65,67.08,69.1,12193136,,835080320.0
2018-08-24,67.81,71.2,67.7,68.8,13360932,,931622784.0
2018-08-27,68.58,70.98,67.89,70.46,12915092,,900979584.0
2018-08-28,70.61,74.32,70.4,73.01,18813962,,1362031232.0
2018-08-29,72.6,73.5,71.81,73.02,10333837,,749871872.0
2018-08-30,73.19,74.0,69.63,69.99,13681809,,979226432.0
2018-08-31,68.49,69.2,65.01,65.5,15901213,,1072916800.0
2018-09-03,64.8,64.8,61.0,63.26,15910804,,998632512.0
2018-09-04,63.2,64.25,62.76,63.85,8067558,,512634912.0
2018-09-05,63.6,63.98,61.39,61.39,9689281,,604400384.0
2018-09-06,60.6,62.65,60.32,61.84,8854073,,547542976.0
2018-09-07,62.49,64.88,62.21,63.32,12748586,,813256832.0
2018-09-10,63.56,63.79,61.0,61.35,6545100,,404054144.0
2018-09-11,61.4,63.16,61.4,62.57,6629327,,413926176.0
2018-09-12,62.8,65.25,62.61,64.5,12115986,,779904448.0
2018-09-13,65.64,66.1,63.39,64.8,9852036,,637747200.0
2018-09-14,66.3,69.0,65.86,65.9,15831828,,1068356160.0
2018-09-17,64.57,65.48,63.59,63.71,7131416,,460645760.0
2018-09-18,63.0,66.41,62.99,66.36,7789233,,505525632.0
2018-09-19,65.99,68.56,65.45,67.33,9502594,,637368896.0
2018-09-20,67.01,69.9,67.01,67.99,10200717,,703066432.0
2018-09-21,68.63,69.9,67.86,69.19,7748207,,535412416.0
2018-09-25,68.4,69.3,67.71,68.33,4204191,,287948512.0
2018-09-26,68.66,73.5,68.66,72.89,16061574,,1149820288.0
2018-09-27,72.25,74.95,71.7,72.55,13694667,,1005558208.0
2018-09-28,72.11,75.09,72.11,73.0,11921098,,880458304.0
2018-10-08,71.88,71.88,67.8,68.45,13116724,,915229248.0
2018-10-09,68.91,69.16,64.1,64.9,13389376,,888448832.0
2018-10-10,65.61,65.8,63.6,64.9,7163213,,464126624.0
2018-10-11,61.88,63.47,59.51,60.45,12809465,,785418496.0
2018-10-12,60.45,63.16,60.38,62.86,8600315,,531900768.0
2018-10-15,68.8,69.15,67.88,69.15,19801487,,1362852736.0
2018-10-16,70.0,70.36,67.94,68.85,10452197,,723312832.0
